Mã trường,Tên trường,Link
KHA,Đại Học Kinh Tế Quốc Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html
BKA,Đại Học Bách Khoa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html
HTC,Học Viện Tài chính,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-tai-chinh-HTC.html
NHH,Học Viện Ngân Hàng,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-NHH.html
NTH,Trường Đại học Ngoại thương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html
QSB,Trường Đại Học Bách Khoa HCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-hcm-QSB.html
YHB,Trường Đại Học Y Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-ha-noi-YHB.html
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html
SPH,Trường Đại Học Sư Phạm Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ha-noi-SPH.html
TMU,Trường Đại Học Thương Mại,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuong-mai-TMU.html
SPS,Trường Đại Học Sư Phạm TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-tphcm-SPS.html
YDS,Đại Học Y Dược TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-tphcm-YDS.html
QHI,Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html
HNM,Trường Đại học Thủ Đô Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thu-do-ha-noi-HNM.html
GHA,Trường Đại Học Giao Thông Vận Tải,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html
YTB,Trường Đại Học Y Dược Thái Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-thai-binh-YTB.html
KMA,Học Viện Kỹ Thuật Mật Mã,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-mat-ma-KMA.html
DCN,Đại Học Công Nghiệp Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-ha-noi-DCN.html
YPB,Trường Đại Học Y Dược Hải Phòng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-hai-phong-YPB.html
IUH,Trường Đại Học Công Nghiệp TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-tphcm-IUH.html
HPN,Học Viện Phụ Nữ Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-phu-nu-viet-nam-HPN.html
DKH,Trường Đại Học Dược Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-duoc-ha-noi-DKH.html
ANH,Học Viện An Ninh Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-an-ninh-nhan-dan-ANH.html
DKY,Trường Đại Học Kỹ Thuật Y Tế Hải Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-y-te-hai-duong-DKY.html
GTS,Trường Đại Học Giao Thông Vận Tải TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-tphcm-GTS.html
HYD,Học Viện Y Dược Học Cổ Truyền Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-y-duoc-hoc-co-truyen-viet-nam-HYD.html
CSH,Học Viện Cảnh Sát Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-canh-sat-nhan-dan-CSH.html
DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ky-thuat-cong-nghiep-DKK.html
DCT,Trường Đại Học Công Thương TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-thuong-tphcm-DCT.html
LAH,Trường Sĩ Quan Lục Quân 1  Đại học Trần Quốc Tuấn,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-luc-quan-1-dai-hoc-tran-quoc-tuan-LAH.html
HQH,Học Viện Hải Quân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hai-quan-HQH.html
HHK,Học Viện Hàng không Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hang-khong-viet-nam-HHK.html
PKA,Đại Học Phenikaa,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phenikaa-PKA.html
PKH,Học Viện Phòng Không – Không Quân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-phong-khong-khong-quan-PKH.html
CSS,Trường Đại Học Cảnh Sát Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-canh-sat-nhan-dan-CSS.html
TTH,Trường Sĩ Quan Thông Tin  Hệ Quân sự  Đại Học Thông Tin Liên Lạc,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-thong-tin-he-quan-su-dai-hoc-thong-tin-lien-lac-TTH.html
NHF,Trường Đại Học Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ha-noi-NHF.html
KQH,Học Viện Kỹ Thuật Quân Sự  Hệ Quân sự,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-quan-su-he-quan-su-KQH.html
YTC,Trường Đại Học Y Tế Công Cộng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-te-cong-cong-YTC.html
HQT,Học Viện Ngoại Giao,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngoai-giao-HQT.html
ANS,Trường Đại Học An Ninh Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-ninh-nhan-dan-ANS.html
YCT,Trường Đại Học Y Dược Cần Thơ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-can-tho-YCT.html
TDM,Trường Đại học Thủ Dầu Một,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thu-dau-mot-TDM.html
TYS,Trường Đại Học Y Khoa Phạm Ngọc Thạch,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-pham-ngoc-thach-TYS.html
DTL,Trường Đại Học Thăng Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thang-long-DTL.html
TLA,Trường Đại Học Thủy Lợi,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuy-loi-co-so-1-TLA.html
QST,Trường Đại Học Khoa Học Tự Nhiên TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-tphcm-QST.html
VHH,Trường Đại Học Văn Hóa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-ha-noi-VHH.html
DTT,Trường Đại Học Tôn Đức Thắng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ton-duc-thang-DTT.html
HVN,Học Viện Nông Nghiệp Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-nong-nghiep-viet-nam-HVN.html
QHX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html
LPH,Trường Đại Học Luật Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-ha-noi-LPH.html
QHF,Trường Đại Học Ngoại Ngữ  ĐH Quốc gia Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-ha-noi-QHF.html
HBT,Học viện Báo chí và Tuyên truyền,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-bao-chi-va-tuyen-truyen-HBT.html
QHT,Trường Đại Học Khoa Học Tự Nhiên Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi-QHT.html
QHE,Trường Đại Học Kinh Tế  ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ha-noi-QHE.html
QSX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-tphcm-QSX.html
DTS,Đại Học Sư Phạm Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-thai-nguyen-DTS.html
LCH,Trường Sĩ Quan Chính Trị  Đại Học Chính Trị,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-chinh-tri-dai-hoc-chinh-tri-LCH.html
TCT,Đại Học Cần Thơ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-can-tho-TCT.html
DKS,Trường Đại học Kiểm Sát,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kiem-sat-DKS.html
BPH,Học Viện Biên Phòng,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-bien-phong-BPH.html
QHL,Trường Đại học Luật – ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-dai-hoc-quoc-gia-ha-noi-QHL.html
DHS,Trường Đại Học Sư Phạm Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-hue-DHS.html
QSC,Trường Đại Học Công Nghệ Thông Tin  ĐHQG TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-thong-tin-dhqg-tphcm-QSC.html
SGD,Trường Đại Học Sài Gòn,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-sai-gon-SGD.html
NQH,Học Viện Khoa Học Quân Sự  Hệ Quân sự,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-khoa-hoc-quan-su-he-quan-su-NQH.html
NTS,Trường Đại học Ngoại thương (Cơ sở II),https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-nam-NTS.html
HTA,Học viện Tòa án,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-toa-an-HTA.html
DDS,Trường Đại Học Sư Phạm  Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-dai-hoc-da-nang-DDS.html
SP2,Trường Đại Học Sư Phạm Hà Nội 2,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ha-noi-2-SP2.html
QHS,Trường Đại Học Giáo Dục  ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-duc-ha-noi-QHS.html
VHS,Trường Đại Học Văn Hóa TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-tphcm-VHS.html
SPK,Trường Đại Học Sư Phạm Kỹ Thuật TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-tphcm-SPK.html
HTN,Học Viện Thanh Thiếu Niên Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-thanh-thieu-nien-viet-nam-HTN.html
YQH,Học Viện Quân Y  Hệ Quân sự,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-quan-y-he-quan-su-YQH.html
QSK,Trường Đại học Kinh Tế Luật TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-luat-tphcm-QSK.html
HEH,Học Viện Hậu Cần  Hệ Quân sự,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hau-can-he-quan-su-HEH.html
LPS,Trường Đại Học Luật TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-tphcm-LPS.html
DDF,Trường Đại Học Ngoại Ngữ Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-da-nang-DDF.html
KSA,Đại Học Kinh Tế TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-tphcm-KSA.html
QHY,Trường Đại học Y Dược  ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-dai-hoc-quoc-gia-ha-noi-QHY.html
DDK,Trường Đại Học Bách Khoa Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-da-nang-DDK.html
DHF,Trường Đại Học Ngoại Ngữ Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-hue-DHF.html
DMS,Trường Đại Học Tài Chính Marketing,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-marketing-DMS.html
GSA,Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-nam-GSA.html
TSN,Trường Đại Học Nha Trang,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nha-trang-TSN.html
LBH,Trường Sĩ Quan Lục Quân 2  Đại học Nguyễn Huệ,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-luc-quan-2-dai-hoc-nguyen-hue-LBH.html
BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-BVS.html
YKV,Trường Đại Học Y Khoa Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-vinh-YKV.html
YDN,Trường Đại học Kỹ thuật Y Dược Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-y-duoc-da-nang-YDN.html
DTY,Trường Đại Học Y Dược Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-thai-nguyen-DTY.html
DHY,Trường Đại Học Y Dược Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-hue-DHY.html
DDY,Trường Y Dược Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/truong-y-duoc-da-nang-DDY.html
KTS,Trường Đại Học Kiến Trúc TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-truc-tphcm-KTS.html
HCA,Học Viện Chính Trị Công An Nhân Dân,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-chinh-tri-cong-an-nhan-dan-HCA.html
QSY,Trường Đại học Khoa học sức khỏe TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-suc-khoe-tphcm-QSY.html
QSQ,Trường Đại Học Quốc Tế  ĐHQG TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-dhqg-tphcm-QSQ.html
THV,Trường Đại Học Hùng Vương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hung-vuong-THV.html
THP,Trường Đại Học Hải Phòng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hai-phong-THP.html
HCP,Học Viện Chính Sách và Phát Triển,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-chinh-sach-va-phat-trien-HCP.html
MHN,Trường Đại Học Mở Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-ha-noi-MHN.html
LDA,Trường Đại Học Công Đoàn,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-doan-LDA.html
HHA,Trường Đại Học Hàng Hải Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/-HHA.html
KTA,Trường Đại Học Kiến Trúc Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-truc-ha-noi-KTA.html
TDV,Trường Đại Học Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-vinh-TDV.html
QSA,Trường Đại Học An Giang,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-giang-QSA.html
HCH,Học Viện Hành Chính và Quản trị công,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hanh-chinh-va-quan-tri-cong-HCH.html
SPD,Trường Đại Học Đồng Tháp,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-thap-SPD.html
QHK,Trường Khoa học liên ngành và Nghệ thuật Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/truong-khoa-hoc-lien-nganh-va-nghe-thuat-ha-noi-QHK.html
TTN,Trường Đại Học Tây Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-nguyen-TTN.html
DQN,Trường Đại Học Quy Nhơn,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quy-nhon-DQN.html
DHC,Khoa Giáo Dục Thể Chất Huế,https://diemthi.tuyensinh247.com/diem-chuan/khoa-giao-duc-the-chat-hue-DHC.html
GNT,Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-nghe-thuat-trung-uong-GNT.html
DDQ,Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-dai-hoc-da-nang-DDQ.html
DTF,Trường Ngoại Ngữ Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/truong-ngoai-ngu-thai-nguyen-DTF.html
HLU,Trường Đại Học Hạ Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ha-long-HLU.html
DKT,Trường Đại Học Hải Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hai-duong-DKT.html
DQB,Trường Đại Học Quảng Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-binh-DQB.html
DPQ,Trường Đại Học Phạm Văn Đồng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-pham-van-dong-DPQ.html
HHT,Trường Đại Học Hà Tĩnh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ha-tinh-HHT.html
DMT,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-ha-noi-DMT.html
HCS,Học Viện Hành Chính Và Quản Trị Công (phía Nam),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hanh-chinh-va-quan-tri-cong-phia-nam-HCS.html
NHS,Trường Đại Học Ngân Hàng TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngan-hang-tphcm-NHS.html
DLX,Trường Đại Học Lao Động – Xã Hội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-ha-noi-DLX.html
DBL,Trường Đại Học Bạc Liêu,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bac-lieu-DBL.html
DQU,Trường Đại Học Quảng Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-nam-DQU.html
DLS,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-phia-nam-DLS.html
DPY,Trường Đại Học Phú Yên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phu-yen-DPY.html
DDP,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-da-nang-tai-kon-tum-DDP.html
TDH,Trường Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-the-duc-the-thao-ha-noi-TDH.html
KCC,Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-cong-nghe-can-tho-KCC.html
QHQ,Trường Quốc Tế   ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/truong-quoc-te-dai-hoc-quoc-gia-ha-noi-QHQ.html
KCN,Trường Đại Học Khoa Học Và Công Nghệ Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi-KCN.html
DCV,Trường Đại học Công nghiệp Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-vinh-DCV.html
DVT,Trường Đại Học Trà Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tra-vinh-DVT.html
NLS,Trường Đại Học Nông Lâm TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-tphcm-NLS.html
HVC,Học viện cán bộ TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-can-bo-tphcm-HVC.html
XDA,Trường Đại Học Xây Dựng Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-ha-noi-XDA.html
SKH,Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-hung-yen-SKH.html
MBS,Trường Đại Học Mở TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-tphcm-MBS.html
FBU,Trường Đại Học Tài Chính Ngân Hàng Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-ngan-hang-ha-noi-FBU.html
GTA,Trường Đại học Công nghệ Giao thông vận tải,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-giao-thong-van-tai-GTA.html
MDA,Trường Đại Học Mỏ Địa Chất,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-dia-chat-MDA.html
DDL,Trường Đại Học Điện Lực,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dien-luc-DDL.html
TDS,Trường Đại Học Thể Dục Thể Thao TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-the-duc-the-thao-tphcm-TDS.html
DPD,Trường Đại Học Phương Đông,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phuong-dong-DPD.html
VLU,Trường Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-long-VLU.html
KTD,Trường Đại Học Kiến Trúc Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-truc-da-nang-KTD.html
DQK,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi-DQK.html
DTK,Trường Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-cong-nghiep-thai-nguyen-DTK.html
