Mã trường,Tên trường,Link
STS,Trường Đại Học Sư Phạm Thể Dục Thể Thao TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-the-duc-the-thao-tphcm-STS.html
UKH,Trường Đại học Khánh Hòa,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khanh-hoa-UKH.html
DSK,Trường Đại học Sư phạm Kỹ thuật  Đại học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-dai-hoc-da-nang-DSK.html
NHB,Học Viện Ngân Hàng (Phân Viện Bắc Ninh),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-phan-vien-bac-ninh-NHB.html
DHI,Khoa Quốc tế  Đại học Huế,https://diemthi.tuyensinh247.com/diem-chuan/khoa-quoc-te-dai-hoc-hue-DHI.html
CMC,Trường Đại Học,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cmc-CMC.html
NTT,Trường Đại Học Nguyễn Tất Thành,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nguyen-tat-thanh-NTT.html
DHK,Trường Đại Học Kinh Tế  Đại Học Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-dai-hoc-hue-DHK.html
DHD,Trường Du Lịch  Đại Học Huế,https://diemthi.tuyensinh247.com/diem-chuan/truong-du-lich-dai-hoc-hue-DHD.html
KGH,Trường Sĩ Quan Không Quân  Hệ Đại học,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-khong-quan-he-dai-hoc-KGH.html
DTC,Trường Đại học Công Nghệ Thông Tin và Truyền Thông Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-thai-nguyen-DTC.html
HGH,Trường Sĩ Quan Phòng Hóa,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-phong-hoa-HGH.html
TGH,Trường Sĩ Quan Tăng  Thiết Giáp,https://diemthi.tuyensinh247.com/diem-chuan/truong-siquan-tang-thiet-giap-TGH.html
HVQ,Học Viện Quản Lý Giáo Dục,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-quan-ly-giao-duc-HVQ.html
DDT,Đại Học Duy Tân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-duy-tan-DDT.html
DNC,Trường Đại học Nam Cần Thơ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nam-can-tho-DNC.html
HIU,Trường Đại Học Quốc Tế Hồng Bàng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-hong-bang-HIU.html
TTU,Trường Đại học Tân Tạo,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tan-tao-TTU.html
TTD,Trường Đại Học Thể Dục Thể Thao Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-the-duc-the-thao-da-nang-TTD.html
DCL,Trường Đại Học Cửu Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cuu-long-DCL.html
DVL,Trường Đại Học Văn Lang,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-lang-DVL.html
DPC,Trường Đại Học Phan Châu Trinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phan-chau-trinh-DPC.html
UKB,Trường Đại Học Kinh Bắc,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-bac-UKB.html
ETU,Trường Đại Học Hòa Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hoa-binh-ETU.html
DDN,Trường Đại Học Đại Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dai-nam-DDN.html
VTT,Trường Đại Học Võ Trường Toản,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-vo-truong-toan-VTT.html
DAD,Trường Đại Học Đông Á,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-a-DAD.html
SNH,Trường Sĩ Quan Công Binh  Hệ Quân sự  Đại học Ngô Quyền,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-cong-binh-he-quan-su-dai-hoc-ngo-quyen-SNH.html
DCH,Trường Sĩ Quan Đặc Công,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-dac-cong-DCH.html
HCB,Học viện Kỹ thuật và Công nghệ an ninh (Phía Bắc),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-cong-nghe-an-ninh-phia-bac-HCB.html
HCN,Học viện Kỹ thuật và Công nghệ an ninh (Phía Nam),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-va-cong-nghe-an-ninh-phia-nam-HCN.html
PBH,Trường Sĩ Quan Pháo Binh,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-phao-binh-PBH.html
KSV,Đại học Kinh Tế TPHCM  Phân hiệu Vĩnh Long,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-tphcm-phan-hieu-vinh-long-KSV.html
QHD,Trường Quản Trị và Kinh Doanh  ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/truong-quan-tri-va-kinh-doanh-dh-quoc-gia-ha-noi-QHD.html
VGU,Trường Đại Học Việt Đức,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-viet-duc-VGU.html
TLS,Trường Đại Học Thủy Lợi (Cơ sở 2),https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuy-loi-co-so-2-TLS.html
SDU,Trường Đại học Sao Đỏ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-sao-do-SDU.html
PCS,Trường Đại Học Phòng Cháy Chữa Cháy (phía Nam),https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phong-chay-chua-chay-phia-nam-PCS.html
PCH,Trường Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phong-chay-chua-chay-phia-bac-PCH.html
NLN,Phân hiệu Đại học Nông Lâm TPHCM tại Ninh Thuận,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-nong-lam-tphcm-tai-ninh-thuan-NLN.html
DTD,Trường Đại Học Tây Đô,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-do-DTD.html
DKC,Trường Đại học Công Nghệ TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-tphcm-DKC.html
DDU,Trường Đại Học Đông Đô,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-do-DDU.html
DLH,Trường Đại Học Lạc Hồng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lac-hong-DLH.html
DDB,Trường Đại Học Thành Đông,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thanh-dong-DDB.html
DHA,Trường Đại học Luật Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luat-dai-hoc-hue-DHA.html
DYD,Trường Đại Học Yersin Đà Lạt,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-yersin-da-lat-DYD.html
TDD,Trường Đại học Thành Đô,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thanh-do-TDD.html
DBD,Trường Đại Học Bình Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-binh-duong-DBD.html
DTV,Trường Đại Học Lương Thế Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-luong-the-vinh-DTV.html
VJU,Trường Đại học Việt Nhật  ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-viet-nhat-ha-noi-VJU.html
BVU,Trường Đại Học Bà Rịa – Vũng Tàu,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ba-ria-vung-tau-BVU.html
DHN,Trường Đại Học Nghệ Thuật Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nghe-thuat-hue-DHN.html
MIT,Trường Đại học Công nghệ Miền Đông,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-mien-dong-MIT.html
FPT,Trường Đại Học,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-fpt-FPT.html
DKB,Trường Đại Học Kinh Tế Kỹ Thuật Bình Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ky-thuat-binh-duong-DKB.html
UEF,Trường Đại Học Kinh Tế Tài Chính TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-tai-chinh-tphcm-UEF.html
DFA,Trường Đại học Tài chính Quản trị kinh doanh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-quan-tri-kinh-doanh-DFA.html
TTG,Trường Đại Học Tiền Giang,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tien-giang-TTG.html
DTE,Trường Đại học Kinh tế Quản trị kinh doanh Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quan-tri-kinh-doanh-thai-nguyen-DTE.html
PVU,Trường Đại Học Dầu Khí Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dau-khi-viet-nam-PVU.html
DNT,Trường Đại Học Ngoại Ngữ Tin Học TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-tin-hoc-tphcm-DNT.html
SKV,Trường Đại Học Sư Phạm Kỹ Thuật Vinh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-SKV.html
CEA,Trường Đại học Nghệ An,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nghe-an-CEA.html
LNH,Trường Đại Học Lâm nghiệp,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lam-nghiep-LNH.html
DVH,Trường Đại Học Văn Hiến,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hien-DVH.html
DQT,Trường Đại Học Quang Trung,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-trung-DQT.html
HSU,Trường Đại Học Hoa Sen,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hoa-sen-HSU.html
DPT,Trường Đại Học Phan Thiết,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phan-thiet-DPT.html
DVP,Trường Đại Học Trưng Vương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-trung-vuong-DVP.html
YDD,Trường Đại Học Điều Dưỡng Nam Định,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dieu-duong-nam-dinh-YDD.html
THU,Trường Đại học Y khoa Tokyo Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-khoa-tokyo-viet-nam-THU.html
DCD,Trường Đại Học Công Nghệ Đồng Nai,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dong-nai-DCD.html
EIU,Trường Đại Học Quốc Tế Miền Đông,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-mien-dong-EIU.html
DDV,Viện nghiên cứu và đào tạo Việt Anh  Đại học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang-DDV.html
TDB,Trường Đại Học Thể Dục Thể Thao Bắc Ninh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-the-duc-the-thao-bac-ninh-TDB.html
DHE,Khoa Kỹ thuật và Công nghệ  Đại học Huế,https://diemthi.tuyensinh247.com/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html
DTB,Trường Đại Học Thái Bình,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thai-binh-DTB.html
HVD,Học Viện Dân Tộc,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-dan-toc-HVD.html
DHT,Trường Đại Học Khoa Học Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-hue-DHT.html
DTZ,Trường Đại Học Khoa Học Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-thai-nguyen-DTZ.html
HDT,Trường Đại Học Hồng Đức,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hong-duc-HDT.html
DNU,Trường Đại Học Đồng Nai,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-nai-DNU.html
LNS,Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-lam-nghiep-tai-dong-nai-LNS.html
DTM,Trường Đại học Tài Nguyên và Môi Trường TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-tphcm-DTM.html
NTU,Trường Đại Học Nguyễn Trãi,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nguyen-trai-NTU.html
CCM,Trường Đại học Công nghiệp và Thương mại Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-va-thuong-mai-ha-noi-CCM.html
VUI,Trường Đại Học Công Nghiệp Việt Trì,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-viet-tri-VUI.html
QSP,Phân hiệu Đại học Quốc gia TPHCM tại Bến Tre,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-quoc-gia-tphcm-tai-ben-tre-QSP.html
DHL,Trường Đại Học Nông Lâm Huế,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-hue-DHL.html
DTQ,Khoa Quốc Tế  Đại Học Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/khoa-quoc-te-dai-hoc-thai-nguyen-DTQ.html
SIU,Trường Đại học Tư thục Quốc Tế Sài Gòn,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-sai-gon-SIU.html
DCA,Trường Đại học Intracom,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-chu-van-an-DCA.html
DLA,Trường Đại Học Kinh Tế Công Nghiệp Long An,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-cong-nghiep-long-an-DLA.html
DBH,Trường Đại Học Quốc Tế Bắc Hà,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-bac-ha-DBH.html
SKN,Trường Đại Học Sư Phạm Kỹ Thuật Nam Định,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-nam-dinh-SKN.html
NLG,Phân hiệu Đại học Nông Lâm TPHCM tại Gia Lai,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-nong-lam-tphcm-tai-gia-lai-NLG.html
DTN,Trường Đại Học Nông Lâm Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-thai-nguyen-DTN.html
UMT,Trường Đại học Quản lý và công nghệ TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quan-ly-va-cong-nghe-tphcm-UMT.html
DCQ,Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-va-quan-ly-huu-nghi-DCQ.html
DHQ,Phân Hiệu Đại Học Huế tại Quảng Trị,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-hue-tai-quang-tri-DHQ.html
TBD,Trường Đại Học Thái Bình Dương,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thai-binh-duong-TBD.html
DHV,Trường Đại học Hùng Vương TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hung-vuong-tphcm-DHV.html
DVB,Trường Đại Học Kinh tế công nghệ Thái Nguyên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-cong-nghe-thai-nguyen-DVB.html
DPX,Trường Đại Học Phú Xuân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phu-xuan-DPX.html
HPU,Trường Đại học Quản lý và Công nghệ Hải Phòng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quan-ly-va-cong-nghe-hai-phong-HPU.html
MTU,Trường Đại Học Xây Dựng Miền Tây,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-mien-tay-MTU.html
VHD,Trường Đại Học Công Nghiệp Việt  Hung,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-viet-hung-VHD.html
LNA,Phân hiệu Đại học Lâm nghiệp tỉnh Gia Lai,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-lam-nghiep-tinh-gia-lai-LNA.html
NHP,Học Viện Ngân Hàng (Phân Viện Phú Yên),https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ngan-hang-phan-vien-phu-yen-NHP.html
UFA,Trường Đại học Tài Chính Kế Toán,https://diemthi.tuyensinh247.com/diem-chuan/-UFA.html
GDU,Trường Đại Học Gia Định,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-gia-dinh-GDU.html
DDM,Trường Đại Học Công Nghiệp Quảng Ninh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-quang-ninh-DDM.html
XDT,Trường Đại Học Xây Dựng Miền Trung,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-mien-trung-XDT.html
DSG,Trường Đại Học Công Nghệ Sài Gòn,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-sai-gon-DSG.html
XDN,Phân hiệu Đại học Xây dựng miền Trung tại Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-xay-dung-mien-trung-tai-da-nang-XDN.html
DBG,Trường Đại học Nông Lâm Bắc Giang,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-bac-giang-DBG.html
TTB,Trường Đại Học Tây Bắc,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-bac-TTB.html
TDL,Trường Đại Học Đà Lạt,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-da-lat-TDL.html
DTP,Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-thai-nguyen-tai-lao-cai-DTP.html
TQU,Trường Đại học Tân Trào,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tan-trao-TQU.html
TKG,Trường Đại học Kiên Giang,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-giang-TKG.html
DVD,"Trường Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-the-thao-va-du-lich-thanh-hoa-DVD.html
DTG,Phân hiệu Đại học Thái Nguyên tại Hà Giang,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-thai-nguyen-tai-ha-giang-DTG.html
DNB,Trường Đại Học Hoa Lư,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hoa-lu-DNB.html
LBS,Trường Đại học Nguyễn Huệ,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nguyen-hue-LBS.html
HVA,Học Viện Âm Nhạc Huế,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-am-nhac-hue-HVA.html
NVH,Học Viện Âm Nhạc Quốc Gia Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-am-nhac-quoc-gia-viet-nam-NVH.html
NVS,Nhạc Viện TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/nhac-vien-tphcm-NVS.html
DVX,Trường Đại Học Công Nghệ Vạn Xuân,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-van-xuan-DVX.html
DHH,Trường Đại Học Hà Hoa Tiên,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ha-hoa-tien-DHH.html
MTC,Trường Đại Học Mỹ Thuật Công Nghiệp,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-cong-nghiep-MTC.html
MTS,Trường Đại Học Mỹ Thuật TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-tphcm-MTS.html
MTH,Trường Đại Học Mỹ Thuật Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-viet-nam-MTH.html
YHT,Phân hiệu Đại học Y Hà Nội tại Thanh Hóa,https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-y-ha-noi-tai-thanh-hoa-YHT.html
RMU,Trường Đại Học Quốc Tế RMIT Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-rmit-viet-nam-RMU.html
RHM,Trường Đại Học Răng – Hàm – Mặt,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-rang-ham-mat-RHM.html
SKD,Trường Đại Học Sân Khấu Điện Ảnh Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-san-khau-dien-anh-ha-noi-SKD.html
CIV,Học viện Công giáo Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-giao-viet-nam-CIV.html
ZNH,Trường Đại học Văn hóa Nghệ thuật Quân đội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-nghe-thuat-quan-doi-ZNH.html
LCDF,Học viện Thiết kế và Thời trang London Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-thiet-ke-va-thoi-trang-london-ha-noi-LCDF.html
DNV,Trường Đại học Nội vụ Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-noi-vu-ha-noi-DNV.html
VPH,Trường Sĩ Quan Kĩ Thuật Quân Sự   Hệ Quân sự  Đại Học Trần Đại Nghĩa,https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-ki-thuat-quan-su-he-quan-su-dai-hoc-tran-dai-nghia-VPH.html
DSD,Trường Đại Học Sân Khấu Điện Ảnh TPHCM,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-san-khau-dien-anh-tphcm-DSD.html
DDA,Trường Đại Học Công Nghệ Đông Á,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dong-a-DDA.html
BUV,Trường Đại Học Anh Quốc Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-anh-quoc-viet-nam-BUV.html
BMU,Trường Đại học Y Dược Buôn Ma Thuột,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-buon-ma-thuot-BMU.html
DDG,Khoa Giáo dục thể chất Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/khoa-giao-duc-the-chat-da-nang-DDG.html
VKU,Trường Đại học Công nghệ Thông tin và Truyền thông Việt Hàn  Đại học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-viet-han-dai-hoc-da-nang-VKU.html
